customer_id,segment_name,recency_days,frequency_180d,monetary_180d,ticket_count_90d,return_rate_180d,avg_discount_pct_180d
CUST00001,About to Churn,107,1.0,362.73,2.0,0.0,0.23
CUST00002,About to Churn,40,1.0,581.0,1.0,0.0,0.23
CUST00003,Dormant,171,1.0,649.98,0.0,0.0,0.47
CUST00004,High-Value Unhappy,131,1.0,1604.04,0.0,0.0,0.16
CUST00005,High-Value Unhappy,38,3.0,1781.9,1.0,0.0,0.48
CUST00006,High-Value Unhappy,51,4.0,2989.58,2.0,0.25,0.38
CUST00007,About to Churn,3,1.0,719.33,0.0,0.0,0.18
CUST00008,High-Value Unhappy,47,3.0,2449.11,1.0,0.0,0.21666666666666667
CUST00009,Discount-Sensitive,31,1.0,376.85,0.0,0.0,0.49
CUST00010,New Customers,9,1.0,636.8,0.0,0.0,0.45
CUST00011,About to Churn,1,1.0,508.08,0.0,0.0,0.14
CUST00012,Discount-Sensitive,50,1.0,978.88,1.0,0.0,0.31
CUST00013,High-Value Unhappy,61,3.0,1754.44,1.0,0.0,0.23
CUST00014,Loyal Customers,51,2.0,1382.3899999999999,2.0,0.0,0.14500000000000002
CUST00015,Loyal Customers,35,2.0,1523.1399999999999,0.0,0.0,0.28500000000000003
CUST00016,Dormant,215,0.0,0.0,1.0,0.0,0.0
CUST00017,Dormant,286,0.0,0.0,0.0,0.0,0.0
CUST00018,About to Churn,111,1.0,329.21,0.0,0.0,0.36
CUST00019,Loyal Customers,9,2.0,1598.93,0.0,0.0,0.105
CUST00020,Dormant,368,0.0,0.0,1.0,0.0,0.0
CUST00021,At-Risk,77,2.0,1059.3,1.0,0.0,0.435
CUST00022,Discount-Sensitive,29,1.0,454.06,0.0,0.0,0.31
CUST00023,New Customers,21,1.0,400.98,0.0,0.0,0.25
CUST00024,Discount-Sensitive,4,1.0,481.35,0.0,0.0,0.34
CUST00025,Dormant,165,1.0,517.97,3.0,0.0,0.38
CUST00026,High-Value Unhappy,72,3.0,3561.3900000000003,1.0,0.3333333333333333,0.16333333333333333
CUST00027,High-Value Unhappy,70,1.0,2128.34,1.0,1.0,0.3
CUST00028,About to Churn,83,1.0,641.83,1.0,0.0,0.11
CUST00029,Loyal Customers,18,3.0,1382.04,0.0,0.0,0.19999999999999998
CUST00030,High-Value Unhappy,5,5.0,2819.98,2.0,0.0,0.362
CUST00031,About to Churn,49,1.0,672.95,0.0,0.0,0.24
CUST00032,Discount-Sensitive,33,1.0,694.18,0.0,0.0,0.32
CUST00033,High-Value Unhappy,12,3.0,1877.69,2.0,0.3333333333333333,0.4033333333333333
CUST00034,Loyal Customers,50,2.0,1460.21,3.0,0.0,0.185
CUST00035,Dormant,127,1.0,779.74,0.0,0.0,0.12
CUST00036,High-Value Unhappy,27,4.0,1737.33,1.0,0.25,0.365
CUST00037,About to Churn,102,1.0,435.83,0.0,0.0,0.43
CUST00038,Loyal Customers,51,3.0,1955.6100000000001,1.0,0.0,0.31666666666666665
CUST00039,Loyal Customers,15,2.0,1173.55,0.0,0.0,0.21000000000000002
CUST00040,Dormant,154,1.0,634.73,1.0,0.0,0.38
CUST00041,Discount-Sensitive,54,1.0,366.99,1.0,0.0,0.44
CUST00042,High-Value Unhappy,87,5.0,4306.0,6.0,0.0,0.2
CUST00043,Discount-Sensitive,24,1.0,363.01,0.0,0.0,0.43
CUST00044,Discount-Sensitive,72,1.0,899.51,1.0,0.0,0.29
CUST00045,About to Churn,96,1.0,413.75,0.0,0.0,0.33
CUST00046,Dormant,127,1.0,489.87,0.0,0.0,0.13
CUST00047,Dormant,204,0.0,0.0,0.0,0.0,0.0
CUST00048,High-Value Unhappy,61,4.0,2450.45,1.0,0.25,0.3125
CUST00049,New Customers,8,1.0,380.83,0.0,0.0,0.47
CUST00050,High-Value Unhappy,0,2.0,2026.54,1.0,0.5,0.30000000000000004
CUST00051,Dormant,210,0.0,0.0,2.0,0.0,0.0
CUST00052,High-Value Unhappy,55,2.0,1820.53,1.0,0.0,0.19
CUST00053,High-Value Unhappy,25,3.0,2063.87,2.0,0.0,0.4566666666666667
CUST00054,Discount-Sensitive,6,1.0,489.85,0.0,0.0,0.25
CUST00055,Loyal Customers,3,3.0,1308.35,1.0,0.0,0.24666666666666667
CUST00056,High-Value Unhappy,9,3.0,3150.6899999999996,1.0,0.0,0.2866666666666667
CUST00057,Dormant,136,1.0,1713.34,0.0,0.0,0.14
CUST00058,About to Churn,42,1.0,644.61,0.0,0.0,0.21
CUST00059,Loyal Customers,2,2.0,1447.55,0.0,0.0,0.32
CUST00060,Dormant,145,1.0,293.22,0.0,0.0,0.36
CUST00061,High-Value Unhappy,14,3.0,1632.4,1.0,0.0,0.4066666666666667
CUST00062,High-Value Unhappy,21,3.0,2295.98,1.0,0.0,0.24666666666666667
CUST00063,Dormant,216,0.0,0.0,1.0,0.0,0.0
CUST00064,Discount-Sensitive,2,1.0,654.93,0.0,0.0,0.43
CUST00065,About to Churn,6,1.0,1911.67,0.0,0.0,0.0
CUST00066,Dormant,320,0.0,0.0,1.0,0.0,0.0
CUST00067,At-Risk,63,2.0,1246.44,1.0,0.5,0.19999999999999998
CUST00068,Dormant,346,0.0,0.0,1.0,0.0,0.0
CUST00069,Loyal Customers,29,2.0,874.47,0.0,0.0,0.225
CUST00070,Discount-Sensitive,38,1.0,542.98,0.0,0.0,0.34
CUST00071,High-Value Unhappy,32,1.0,2062.5,1.0,0.0,0.08
CUST00072,High-Value Unhappy,90,2.0,1697.8400000000001,0.0,0.0,0.21
CUST00073,Loyal Customers,8,2.0,1150.72,0.0,0.0,0.235
CUST00074,About to Churn,7,1.0,824.34,1.0,1.0,0.23
CUST00075,Loyal Customers,3,3.0,1287.45,4.0,0.0,0.2966666666666667
